Krystyna Gizowska, Cudowny koncert, 11
10 Tenorów, Jedna z najlepszych imprez na ktorej bylismy od kilku dobrych miesiecy. Wspaniale glosy i interesujacy repertuar. Na pewno wybierzemy sie ponownie zeby zobaczyc i posluchac tych artystow, 12
Stand-up: Łukasz Kowalski, Było świetnie cały przebieg łącznie z piosenką na końcu bardzo na pozimie. Nie lubie takiech spędu ludzi ale to bylo w słusznym celu i też ambicjonalnym dla Łukasza wiec poszlam. Ale wole Wedrowki Pub, 13
Lubelska Federacja Bardów, Profesjonalnie i pięknie, 14
Michał Leja Stand-up, Michał mimo swojej popularności nie zmienił się jest bardzo naturalny a na scenie po prostu wymiata! Ma niesamowity dystans do siebie. Płakałam że śmiechu,	15
Piotr Bałtroczyk, Polecam było super, 16
Pod Dachami Paryża,	Super koncert, 17
Rubinowe Gody, Świetny spektal wspaniała obsada i świetna komedia śmialiśmy się cały czas!, 18
Kaczmarski. Alternatywa - Nagórski / Wośko,	Wydarzenie wybrane przeze mnie zupełnie świadomie wiedziałem czego mogę się spodziewać i bardzo dobrze oceniam ten koncert, 19
KRZYSZTOF CUGOWSKI - 55 LAT NA SCENIE, Fantastyczny koncert!!! Z przyjemnością wysłuchałem utworów które powstawały gdy byłem piękny i młody!, 20
